Position,Date,Company,CompanyLogo,CompanyURL,Description
SCIS Dean's List Awardee,"AY 20/21, 21/22, 22/23",Singapore Management University,https://media.licdn.com/dms/image/C560BAQHaxBfgv0PdrA/company-logo_200_200/0/1620714878253?e=1692835200&v=beta&t=2UF5GcTidmB7jocCXaDl1sHu2zrOXN-HgAjfM20WbsM,https://www.linkedin.com/school/singapore-management-university/,"Awarded to students with a cumulative GPA of 3.70 or higher over 2 consecutive regular terms in an academic year, no grade lower than a ""C"". Students must have completed 3 or more graded course units per term."
"1st Place, SMU GDSC UI/UX Competition",2022,SMU Google Developer Student Club,https://media.licdn.com/dms/image/C4D0BAQHaTSZqkmY_lw/company-logo_200_200/0/1600595660114?e=1692835200&v=beta&t=Yd2zG2jjayArt74utruLxUc6xo29wKHRxiY1EPwe_5s,"https://www.linkedin.com/company/dscntu/about/, https://www.linkedin.com/company/gdscpsba/","Problem Statement: Focusing on the theme of usability and user experience in improving the experience of online shopping, redesign a feature or section of an existing mobile e-commerce application.
"
"1st Place, NTU x PSBA GDSC Hackfest",2022,NTU and PSB Academy Google Developer Student Clubs,https://media.licdn.com/dms/image/C4D0BAQHaTSZqkmY_lw/company-logo_200_200/0/1600595660114?e=1692835200&v=beta&t=Yd2zG2jjayArt74utruLxUc6xo29wKHRxiY1EPwe_5s,"https://www.linkedin.com/company/dscntu/about/, https://www.linkedin.com/company/gdscpsba/",Problem Statement: Choose at least 1 or more of the UN Sustainable Development Goals to address with a tech solution. It is highly encouraged to use at least 1 Google technology.
