Position,Date,Company,CompanyLogo,CompanyURL,Description
Project Management and Process Intern,May 2023 - Present,Thales,https://media.licdn.com/dms/image/C4D0BAQEmnUAXTuLkJQ/company-logo_200_200/0/1530178704654?e=1692835200&v=beta&t=gx5GiTwaDBy1yt6mdfLo5e5nUPU6U-TNlBcT5J9NEPk,https://www.linkedin.com/company/thales/mycompany/verification/,•Analyses the current project management workflow of the Asia IS/IT Governance Team through requirements gathering and primary data collection in order to identify pain points and opportunities for optimisation.•Assists in the implementation of an internal locker solution for asynchronous item collection and return.
Web Application Development II Teaching Assistant,Aug 2022 - Nov 2022,Singapore Management University,https://media.licdn.com/dms/image/C560BAQHaxBfgv0PdrA/company-logo_200_200/0/1620714878253?e=1692835200&v=beta&t=2UF5GcTidmB7jocCXaDl1sHu2zrOXN-HgAjfM20WbsM,https://www.linkedin.com/school/singapore-management-university/, Curriculum: (CSS | Bootstrap | JavaScript | Vue.js | Axios)•Assists professor in the delivery of classroom lectures and hands-on exercises for Year 2-3 students.•Engages in personalised consultations to help groups strengthen their web development project proposals and to help weaker students improve their coding proficiency.
Data Visualisation Research Intern,May 2022 - Sep 2022,Singapore Management University,https://media.licdn.com/dms/image/C560BAQHaxBfgv0PdrA/company-logo_200_200/0/1620714878253?e=1692835200&v=beta&t=2UF5GcTidmB7jocCXaDl1sHu2zrOXN-HgAjfM20WbsM,https://www.linkedin.com/school/singapore-management-university/, Project: Making data visualisation-based presentations more accessible to individuals with hearing impairments. This is done by dynamically highlighting charts and diagrams based on speech input without the need for speaker intervention.•Developed frontend web displays with the D3.js (Data Driven Documents) JavaScript library for visualisations linked to a natural language processing module.•Corresponded closely with leads via weekly meetings and ad-hoc messaging to ensure seamless implementation of voice-activated interactive data visualisations.
